Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
string,string,ra,dec,integer,datetime,datetime,float,string,string,string,float,integer,datetime,string,string,integer,float
U8ITZU01M,GOODS,03 32 20.503,-27 52 23.39,6,2003-09-06 18:15:15,2003-09-06 18:31:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 00:20:11,U8ITZU01M,,,0.076
U8ITZU02M,GOODS,03 32 20.503,-27 52 23.39,6,2003-09-06 18:34:15,2003-09-06 18:45:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9481,2003-09-07 00:22:22,U8ITZU02M,,,0.076
J8E613010,CDF-SOUTH-GOODS-TILE-NORM-12,03 32 20.441,-27 52 27.14,548,2002-08-09 20:26:25,2002-08-10 00:19:12,7200.000,ACS   ,WFC,CLEAR1L;F435W,4328.769,9425,2002-08-10 06:56:21,J8E613010,,42,0.095
U8LP9A01M,GOODS,03 32 20.503,-27 52 18.77,3,2003-09-02 19:50:15,2003-09-02 20:06:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-03 08:21:29,U8LP9A01M,,,0.101
U8LP9C01M,GOODS,03 32 20.503,-27 52 18.77,3,2003-09-02 20:12:15,2003-09-02 20:20:35,500.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-03 08:22:08,U8LP9C01M,,,0.101
O8IW37030,NONE,03 32 20.503,-27 52 18.77,1,2003-09-02 19:48:21,2003-09-02 19:51:07,1.800,STIS  ,50CCD,MIRVIS,0.000,9612,2003-09-03 08:13:41,O8IW37030,,,0.101
O8IW37040,NONE,03 32 20.503,-27 52 18.77,1,2003-09-02 19:54:56,2003-09-02 19:57:42,0.300,STIS  ,52X2,G750M,6768.000,9612,2003-09-03 08:14:12,O8IW37040,,,0.101
U8LP9Q01M,GOODS,03 32 19.693,-27 52 24.18,3,2003-09-07 18:15:15,2003-09-07 18:31:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-07 23:02:00,U8LP9Q01M,,,0.106
U8LP9Q02M,GOODS,03 32 19.693,-27 52 24.18,3,2003-09-07 18:34:15,2003-09-07 18:45:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-07 23:03:11,U8LP9Q02M,,,0.106
U8LPA101M,GOODS,03 32 20.512,-27 52 28.01,3,2003-09-09 21:28:15,2003-09-09 21:44:55,1000.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 01:40:25,U8LPA101M,,,0.117
U8LPA102M,GOODS,03 32 20.512,-27 52 28.01,3,2003-09-09 21:47:15,2003-09-09 21:58:55,700.000,WFPC2 ,WFALL-FIX,F300W,2987.000,9712,2003-09-10 01:41:40,U8LPA102M,,,0.117
