"Target Name","RA V1 Axis","Dec V1 Axis","DATE-OBS","EXPTIME","SUN_ALT","SUNANGLE","MDRIZSKY","ORIENTAT","FILTER1","FILTER2","PHOTPLAM","PHOTMODE","PHOTFLAM","PHOTZPT","PHOTBW","Data Start Time","Data End Time"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:22:29","507","-27.059315","55.348724","121.1237258911133","-82.6709","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.1823","6.9548958e-20","-21.1","654.03156","2003-10-20 04:22:29","2003-10-20 04:30:56"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:22:29","507","-27.059315","55.348724","121.1237258911133","-82.23390000000001","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.1823","6.9548958e-20","-21.1","654.03156","2003-10-20 04:22:29","2003-10-20 04:30:56"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:33:36","507","18.328106","55.356335","121.8640747070312","-82.6708","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.1900","6.9548958e-20","-21.1","654.03156","2003-10-20 04:33:36","2003-10-20 04:42:03"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:33:36","507","18.328106","55.356335","121.8640747070312","-82.23390000000001","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.1900","6.9548958e-20","-21.1","654.03156","2003-10-20 04:33:36","2003-10-20 04:42:03"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:45:36","507","62.212601","55.363609","123.6482009887695","-82.6708","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.1983","6.9548958e-20","-21.1","654.03156","2003-10-20 04:45:36","2003-10-20 04:54:03"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:45:36","507","62.212601","55.363609","123.6482009887695","-82.23390000000001","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.1983","6.9548958e-20","-21.1","654.03156","2003-10-20 04:45:36","2003-10-20 04:54:03"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:57:36","507","100.556946","55.370892","131.2938690185547","-82.6708","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.2067","6.9548958e-20","-21.1","654.03156","2003-10-20 04:57:36","2003-10-20 05:06:03"
"COSMOS18-22","150.2284661987","2.314113707991","2003-10-20 04:57:36","507","100.556946","55.370892","131.2938690185547","-82.2338","CLEAR1L","F814W","8047.0654","ACS WFC1 F814W MJD#52932.2067","6.9548958e-20","-21.1","654.03156","2003-10-20 04:57:36","2003-10-20 05:06:03"
"COSMOS24-09","150.2658258082","2.322525647205","2004-04-15 07:37:03","507","48.575768","125.36924","40.60881423950195","97.3304","CLEAR1L","F814W","8047.1841","ACS WFC1 F814W MJD#53110.3174","6.958366099999999e-20","-21.1","654.04639","2004-04-15 07:37:03","2004-04-15 07:45:30"
"COSMOS24-09","150.2658258082","2.322525647205","2004-04-15 07:37:03","507","48.575768","125.36924","40.60881423950195","97.765","CLEAR1L","F814W","8047.1841","ACS WFC1 F814W MJD#53110.3174","6.958366099999999e-20","-21.1","654.04639","2004-04-15 07:37:03","2004-04-15 07:45:30"
"COSMOS24-09","150.2658258082","2.322525647205","2004-04-15 07:48:10","507","5.378517","125.360077","39.3071174621582","97.3304","CLEAR1L","F814W","8047.1841","ACS WFC1 F814W MJD#53110.3251","6.9583667e-20","-21.1","654.04639","2004-04-15 07:48:10","2004-04-15 07:56:37"
"COSMOS24-09","150.2658258082","2.322525647205","2004-04-15 07:48:10","507","5.378517","125.360077","39.3071174621582","97.765","CLEAR1L","F814W","8047.1841","ACS WFC1 F814W MJD#53110.3251","6.9583667e-20","-21.1","654.04639","2004-04-15 07:48:10","2004-04-15 07:56:37"
"COSMOS24-09","150.2658258082","2.322525647205","2004-04-15 08:00:10","507","-33.373322","125.351234","39.39646148681641","97.33029999999999","CLEAR1L","F814W","8047.1841","ACS WFC1 F814W MJD#53110.3335","6.9583667e-20","-21.1","654.04639","2004-04-15 08:00:10","2004-04-15 08:08:37"
