"Target Name","RA V1 Axis","Dec V1 Axis","DATE-OBS","EXPTIME","SUN_ALT","SUNANGLE","MDRIZSKY","ORIENTAT","FILTER1","FILTER2","PHOTPLAM","PHOTMODE","PHOTFLAM","PHOTZPT","PHOTBW","Data Start Time","Data End Time"
"BIAS","189.3724445473","62.190397668","2002-06-02 00:40:08","0","61.827183","83.130836"," ","123.096","F606W","POL120V","0"," ","0","0","0","2002-06-02 00:40:08","2002-06-02 00:39:59"
"BIAS","189.3724445473","62.190397668","2002-06-02 00:40:08","0","61.827183","83.130836"," ","123.49","F606W","POL120V","0"," ","0","0","0","2002-06-02 00:40:08","2002-06-02 00:39:59"
"BIAS","189.3718053386","62.18998309576","2002-06-02 00:46:22","0","37.998894","83.128586"," ","-54.2602","F606W","POL120V","0"," ","0","0","0","2002-06-02 00:46:22","2002-06-02 00:46:21"
"DARK","189.3719684623","62.19156216154","2002-06-02 19:06:20","1000","-13.283125","82.740082"," ","-54.9786","F850LP","CLEAR2L","0"," ","0","0","0","2002-06-02 19:06:20","2002-06-02 19:23:02"
"BIAS","189.3716843407","62.19226205943","2002-06-03 02:26:26","0","33.013077","82.58470199999999"," ","122.165","F850LP","CLEAR2L","0"," ","0","0","0","2002-06-03 02:26:26","2002-06-03 02:26:17"
"BIAS","189.3716843407","62.19226205943","2002-06-03 02:26:26","0","33.013077","82.58470199999999"," ","122.558","F850LP","CLEAR2L","0"," ","0","0","0","2002-06-03 02:26:26","2002-06-03 02:26:17"
"BIAS","189.3725832446","62.19197059607","2002-06-03 02:32:40","0","9.234700999999999","82.58297"," ","-55.1911","F850LP","CLEAR2L","0"," ","0","0","0","2002-06-03 02:32:40","2002-06-03 02:32:39"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 04:21:42","500","-57.775646","111.730309","30.91719055175781","-92.69840000000001","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.1817","7.6784359e-20","-21.1","672.39984","2003-01-02 04:21:42","2003-01-02 04:30:02"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 04:21:42","500","-57.775646","111.730309","30.91719055175781","-92.208","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.1817","7.6784359e-20","-21.1","672.39984","2003-01-02 04:21:42","2003-01-02 04:30:02"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 04:32:38","500","-28.75148","111.734009","30.94311714172363","-92.69840000000001","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.1893","7.6784359e-20","-21.1","672.39984","2003-01-02 04:32:38","2003-01-02 04:40:58"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 04:32:38","500","-28.75148","111.734009","30.94311714172363","-92.208","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.1893","7.6784359e-20","-21.1","672.39984","2003-01-02 04:32:38","2003-01-02 04:40:58"
"ANY","188.9253838531","62.2033901933","2003-01-02 04:21:46","394","-62.765667","111.730782","1.307577610015869","90.1965","F555W","CLEAR2S","5355.5605","ACS HRC F555W MJD#52641.1818","2.9894336e-19","-21.1","357.14874","2003-01-02 04:21:46","2003-01-02 04:28:20"
"ANY","188.9253838531","62.2033901933","2003-01-02 04:32:42","394","-28.066875","111.734062","1.331714510917664","90.1966","F555W","CLEAR2S","5355.5605","ACS HRC F555W MJD#52641.1894","2.9894338e-19","-21.1","357.14874","2003-01-02 04:32:42","2003-01-02 04:39:16"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 04:44:14","500","12.132625","111.73732","23.03465461730957","-92.69840000000001","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.1974","9.8356925e-20","-21.1","434.61813","2003-01-02 04:44:14","2003-01-02 04:52:34"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 04:44:14","500","12.132625","111.73732","23.03465461730957","-92.208","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.1974","9.8356925e-20","-21.1","434.61813","2003-01-02 04:44:14","2003-01-02 04:52:34"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 05:42:24","500","-5.687666","111.755043","18.81285858154297","-92.69840000000001","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.2378","9.8356938e-20","-21.1","434.61816","2003-01-02 05:42:24","2003-01-02 05:50:44"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 05:42:24","500","-5.687666","111.755043","18.81285858154297","-92.208","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.2378","9.8356938e-20","-21.1","434.61816","2003-01-02 05:42:24","2003-01-02 05:50:44"
"ANY","188.9253838531","62.2033901933","2003-01-02 04:44:18","394","15.313162","111.737579","0","90.1965","F892N","CLEAR2S","8916.0615","ACS HRC F892N MJD#52641.1974","2.4371787e-18","-21.1","101.61972","2003-01-02 04:44:18","2003-01-02 04:50:52"
"ANY","188.9253838531","62.2033901933","2003-01-02 05:42:27","394","-6.373461","111.755096","0","90.1966","F892N","CLEAR2S","8916.0615","ACS HRC F892N MJD#52641.2378","2.4371787e-18","-21.1","101.61971","2003-01-02 05:42:27","2003-01-02 05:49:01"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 05:53:46","530","-46.501877","111.758354","10.16200065612793","-92.69840000000001","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.2457","1.4900932e-19","-21.1","527.19421","2003-01-02 05:53:46","2003-01-02 06:02:36"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 05:53:46","530","-46.501877","111.758354","10.16200065612793","-92.208","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.2457","1.4900932e-19","-21.1","527.19421","2003-01-02 05:53:46","2003-01-02 06:02:36"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 06:05:12","530","-41.886452","111.761925","9.801777839660645","-92.69840000000001","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.2536","1.4900932e-19","-21.1","527.19421","2003-01-02 06:05:12","2003-01-02 06:14:02"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 06:05:12","530","-41.886452","111.761925","9.801777839660645","-92.208","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.2536","1.4900932e-19","-21.1","527.19421","2003-01-02 06:05:12","2003-01-02 06:14:02"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 07:18:30","530","-5.676968","111.783958","10.14836883544922","-92.6983","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.3045","1.4900934e-19","-21.1","527.19421","2003-01-02 07:18:30","2003-01-02 07:27:20"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 07:18:30","530","-5.676968","111.783958","10.14836883544922","-92.2079","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.3045","1.4900934e-19","-21.1","527.19421","2003-01-02 07:18:30","2003-01-02 07:27:20"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 07:29:55","530","-48.35545","111.787415","10.07706451416016","-92.69840000000001","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.3125","1.4900934e-19","-21.1","527.19421","2003-01-02 07:29:55","2003-01-02 07:38:45"
"HDF-NORTH-GOODS-TILE-TILT-1","188.9253838531","62.2033901933","2003-01-02 07:29:55","530","-48.35545","111.787415","10.07706451416016","-92.208","F850LP","CLEAR2L","9036.4395","ACS WFC1 F850LP MJD#52641.3125","1.4900934e-19","-21.1","527.19421","2003-01-02 07:29:55","2003-01-02 07:38:45"
"ANY","188.9253838531","62.2033901933","2003-01-02 05:53:50","424","-48.786304","111.758545","5.138816356658936","90.1965","G800L","CLEAR2S","7502.1558","ACS HRC G800L MJD#52641.2457","8.3016195e-20","-21.1","1108.8577","2003-01-02 05:53:50","2003-01-02 06:00:54"
"ANY","188.9253838531","62.2033901933","2003-01-02 06:05:15","424","-41.204098","111.761986","4.974159240722656","90.1966","G800L","CLEAR2S","7502.1558","ACS HRC G800L MJD#52641.2537","8.3016195e-20","-21.1","1108.8577","2003-01-02 06:05:15","2003-01-02 06:12:19"
"ANY","188.9253838531","62.2033901933","2003-01-02 07:18:32","424","-6.362836","111.784019","5.162343978881836","90.19670000000001","G800L","CLEAR2S","7502.1558","ACS HRC G800L MJD#52641.3045","8.3016208e-20","-21.1","1108.8577","2003-01-02 07:18:32","2003-01-02 07:25:36"
"ANY","188.9253838531","62.2033901933","2003-01-02 07:29:58","424","-49.034321","111.787476","5.293398380279541","90.1966","G800L","CLEAR2S","7502.1558","ACS HRC G800L MJD#52641.3125","8.3016215e-20","-21.1","1108.8577","2003-01-02 07:29:58","2003-01-02 07:37:02"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 08:57:54","500","-13.024229","111.760223","30.73075103759766","-92.69840000000001","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.3736","7.678443e-20","-21.1","672.39984","2003-01-02 08:57:54","2003-01-02 09:06:14"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 08:57:54","500","-13.024229","111.760223","30.73075103759766","-92.208","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.3736","7.678443e-20","-21.1","672.39984","2003-01-02 08:57:54","2003-01-02 09:06:14"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 09:08:50","500","-58.716915","111.763908","31.02452278137207","-92.69840000000001","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.3811","7.6784436e-20","-21.1","672.39984","2003-01-02 09:08:50","2003-01-02 09:17:10"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 09:08:50","500","-58.716915","111.763908","31.02452278137207","-92.208","F606W","CLEAR2L","5919.3369","ACS WFC1 F606W MJD#52641.3811","7.6784436e-20","-21.1","672.39984","2003-01-02 09:08:50","2003-01-02 09:17:10"
"ANY","189.0407852666","62.20310574983","2003-01-02 08:57:58","394","-18.821415","111.760689","1.202643752098083","90.1965","F555W","CLEAR2S","5355.5605","ACS HRC F555W MJD#52641.3736","2.9894364e-19","-21.1","357.14874","2003-01-02 08:57:58","2003-01-02 09:04:32"
"ANY","189.0407852666","62.20310574983","2003-01-02 09:08:54","394","-59.362167","111.763962","1.166021943092346","90.1966","F555W","CLEAR2S","5355.5605","ACS HRC F555W MJD#52641.3812","2.9894367e-19","-21.1","357.14874","2003-01-02 09:08:54","2003-01-02 09:15:28"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 09:20:26","500","-32.979698","111.767212","18.66219329833984","-92.69840000000001","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.3892","9.835699e-20","-21.1","434.61816","2003-01-02 09:20:26","2003-01-02 09:28:46"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 09:20:26","500","-32.979698","111.767212","18.66219329833984","-92.208","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.3892","9.835699e-20","-21.1","434.61816","2003-01-02 09:20:26","2003-01-02 09:28:46"
"HDF-NORTH-GOODS-TILE-TILT-2","189.0407852666","62.20310574983","2003-01-02 10:30:38","500","-5.532175","111.788498","18.85915756225586","-92.69840000000001","F775W","CLEAR2L","7693.3872","ACS WFC1 F775W MJD#52641.4379","9.8357009e-20","-21.1","434.61816","2003-01-02 10:30:38","2003-01-02 10:38:58"
